NM_MUNICIP,CD_GEOCMU,latitude,longitude,COD_TSE
ARAÇARIGUAMA,3502754,-23.43447561718337,-47.072666301769026,75450
ARAÇATUBA,3502804,-21.113667037999967,-50.574654043482504,75477
ARAÇOIABA DA SERRA,3502903,-23.543476760603184,-47.65057430107272,74284
ARAMINA,3503000,-20.14473526462506,-47.82067679791968,75302
ARANDU,3503109,-23.17783670477213,-49.06401178684378,75329
ARAPEÍ,3503158,-22.67227709747782,-44.43784511364171,74306
ARARAQUARA,3503208,-21.791558870173912,-48.18110880889947,75493
ARARAS,3503307,-22.346040073169714,-47.32350321978002,74322
ARCO-ÍRIS,3503356,-21.76659941001761,-50.43046933167166,75515
AREALVA,3503406,-22.076130159037035,-48.98224615511073,75345
AREIAS,3503505,-22.67328691054769,-44.71228750066787,84573
AREIÓPOLIS,3503604,-22.63134841470002,-48.6528715364641,74349
ARIRANHA,3503703,-21.185753159629947,-48.778960788187206,75531
ARTUR NOGUEIRA,3503802,-22.56137217500937,-47.13246098720904,75558
ARUJÁ,3503901,-23.386287535268988,-46.318848734177024,75574
ASPÁSIA,3503950,-20.18259360590848,-50.727555665859526,75590
ASSIS,3504008,-22.60162515271581,-50.42060821653251,75612
ATIBAIA,3504107,-23.12377278312289,-46.58695018528932,75639
AURIFLAMA,3504206,-20.644207855645,-50.58013474273798,75361
AVAÍ,3504305,-22.187160490067324,-49.316023745521726,79774
AVANHANDAVA,3504404,-21.46064990557208,-49.94730718550665,75655
AVARÉ,3504503,-23.075160696748927,-48.89393584194715,75671
BADY BASSITT,3504602,-20.931338699929746,-49.438039840338405,74004
BALBINOS,3504701,-21.892162273185292,-49.333187174655,75698
BÁLSAMO,3504800,-20.709404755838925,-49.551734680039566,75388
BANANAL,3504909,-22.733610577289795,-44.33425914435808,79596
BARÃO DE ANTONINA,3505005,-23.58347719299236,-49.57170563423074,75710
BARBOSA,3505104,-21.290762934788802,-49.92215268530472,75736
BARIRI,3505203,-22.066844165360425,-48.71870993659992,75426
BARRA BONITA,3505302,-22.47930789546071,-48.541551343644656,75752
BARRA DO CHAPÉU,3505351,-24.443809521142157,-49.0853243275929,75779
BARRA DO TURVO,3505401,-24.888816846782014,-48.42685529355692,75795
BARRETOS,3505500,-20.514133590000892,-48.65206966272895,75817
BARRINHA,3505609,-21.232478443416323,-48.0950041973754,75833
BARUERI,3505708,-23.50554466951913,-46.87690325027954,75850
BASTOS,3505807,-21.95033611698321,-50.74401648745629,75876
BATATAIS,3505906,-20.86781274428102,-47.57478599805602,74365
BAURU,3506003,-22.254209942388325,-49.1258494623784,75892
BEBEDOURO,3506102,-20.940354861036145,-48.51084827407384,74020
BENTO DE ABREU,3506201,-21.331443718744733,-50.86187991761992,75914
BERNARDINO DE CAMPOS,3506300,-23.03090691154995,-49.491763058401325,75930
BERTIOGA,3506359,-23.759730955231326,-46.03007988812554,75957
BILAC,3506409,-21.42750189556779,-50.47925622433567,74381
BIRIGUI,3506508,-21.26150068177623,-50.350830687488134,75442
BIRITIBA MIRIM,3506607,-23.62416444710929,-46.02080840016176,75973
BOA ESPERANÇA DO SUL,3506706,-21.93492246137981,-48.46359379401162,75990
BOCAINA,3506805,-22.105562900411506,-48.52912956978134,76015
BOFETE,3506904,-23.128886757876163,-48.28573015818578,79618
BOITUVA,3507001,-23.28676867201822,-47.67479618440387,76031
BOM JESUS DOS PERDÕES,3507100,-23.17284472563581,-46.47903899898718,76058
BOM SUCESSO DE ITARARÉ,3507159,-24.31582423625381,-49.164457774030254,74403
BORÁ,3507209,-22.244254173647104,-50.5023969419462,76074
BORACÉIA,3507308,-22.17029923956216,-48.78844044130336,76090
BORBOREMA,3507407,-21.610652353077974,-49.07205899191387,76112
BOREBI,3507456,-22.68054376485003,-48.99237279149604,75000
BOTUCATU,3507506,-22.86350668164514,-48.46827081865833,76139
BRAGANÇA PAULISTA,3507605,-22.938322438402892,-46.55619512480374,76155
BRAÚNA,3507704,-21.55348086351041,-50.3395446524911,76171
BREJO ALEGRE,3507753,-21.17668830209214,-50.20953012873565,74446
BRODOWSKI,3507803,-21.04952449607723,-47.62783934810809,76198
BROTAS,3507902,-22.27347932900396,-48.08115922184018,76210
BURI,3508009,-23.752172753745352,-48.57542384557793,76236
BURITAMA,3508108,-21.048990083915115,-50.20022529542652,74462
BURITIZAL,3508207,-20.2097609024284,-47.692852262101184,76252
